date,version,content
2025.07.11,v2.0.2,가이드 신설 - 계시 옵션에 대하여\n가이드 신설 - 대미지 계산에 대하여
2025.07.11,v2.0.1,툴팁 원념·절망 추가\n배경화면으로 인한 CPU 과부하 문제 해결
2025.07.10,v2.0.0,이치고 크리티컬 계산기 추가\n이치고 방어력 계산기 추가\n이치고 약점 추가
2025.07.10,v1.9.9,페르소나 트럼페터·바스키 업데이트
2025.07.09,v1.9.8,(EN/JP) Minami * YUI Update\n(KR) 이치고 상세 업데이트\n각종 오류 수정 및 일본어 영어 번역 개선
2025.07.09,v1.9.7,모바일 메뉴 활용성 개선
2025.07.05,v1.9.6,티어 메이커 영어 일본어 업데이트
2025.07.04,v1.9.5,택틱 메이커 행동 - 특수 스킬 추가\n방어력 계산기 사나다 투지 반영\n방어력 계산기 이치고 반영
2025.07.04,v1.9.4,택틱 모바일 이동 시 턴 잠금 기본 설정
2025.07.04,v1.9.3,영어 일본어 계시 페이지 업데이트
2025.07.03,v1.9.2,이치고 1차 업데이트
2025.07.03,v1.9.1,영어 일본어 페르소나 페이지 업데이트
2025.06.25,v1.9.0,루페르넷 영어 일본어 BETA
2025.06.19,v1.8.9,TECHNICAL 툴팁 수정사항 반영\n다운 특수 공격 툴팁 추가\n사나다 크리티컬 계산기 반영
2025.06.19,v1.8.8,사나다 아키히코 2차 업데이트\n4.1.3 교환코드 추가
2025.06.12,v1.8.7,페르소나3 캐릭터 스킬 배치 오류 수정\n리코 의식5 테우르기아 툴팁 추가\n아야카 테우르기아 효과 추가
2025.06.12,v1.8.6,유카리 스킬1 중요도 변경 8→MAX
2025.06.12,v1.8.5,사나다 1차 업데이트\n신규 계시 돌파·슬픔·변화\n과금 계산기 신규 패키지 추가 
2025.06.06,v1.8.4,KR 서버 교환코드 *about 페이지
2025.06.06,v1.8.3,택틱 메이커 테우르기아 액션 추가\n택틱 메이커 공유 URL 압축률 소폭 증가
2025.05.29,v1.8.2,타케바 유카리 3차 업데이트\n방어력 계산기 유카리 추가
2025.05.26,v1.8.1,타케바 유카리 2차 업데이트
2025.05.22,v1.8.0,타케바 유카리 1차 업데이트\n유키미 스킬 수치 오류 수정
2025.05.16,v1.7.7,업데이트 반영 : 세이지 계몽의 별 수정\n크리티컬 확률 → 크리티컬 효과 | 크리티컬 계산기 수정
2025.05.15,v1.7.6,about 페이지 신설
2025.05.09,v1.7.5,일부 오타 및 기타 오류 수정
2025.05.08,v1.7.4,유키 마코토 3차 업데이트\n페르소나 자오우곤겐 업데이트\n과금 계산기 1주년 패키지 제거\n크리티컬 계산기 유키 마코토 추가\n방어력 계산기 유키 마코토 추가
2025.05.06,v1.7.3,크리티컬 계산기 기본값 추가\n크리티컬 계산기 심상 오류 수정
2025.05.04,v1.7.2,유키 마코토 2차 업데이트
2025.05.03,v1.7.1,방어력 계산기 마나카 관통 데이터 수정\n택틱 메이커 페르소나 51종 카드 이미지 추가
2025.04.30,v1.7.0,과금 계산기 주간 보급 패키지\n과금 계산기 3주 사이클에 맞춘 최대 개수 조정
2025.04.29,v1.6.9,P3&P5 괴도 필터 추가\nP3&P5 괴도 상세창 별도 테마 적용
2025.04.29,v1.6.8,유키 마코토 1차 업데이트
2025.04.28,v1.6.7,반항&지배 괴도 계시 부옵션 추천 스탯에 관통 일괄 추가\n방어력 계산기 관통 탭 - 이케나미 추가\n방어력 계산기 오타 수정: 진정성+희망 → 직책+희망
2025.04.27,v1.6.6,이케나미 세부 데이터 업데이트\n모르가나 미라클 펀치 > 젠틀 펀치
2025.04.17,v1.6.5,마이팰리스 추가에 따른 전투 진입 시 + 수정\n마나카 세부 데이터 업데이트\n이케나미 세부 데이터 업데이트
2025.04.16,v1.6.4,*괴도 밸런스 업데이트\n렌·모토하 여름·토모코 여름·키라·아케치·루우나·미오·리코 매화·하루\n*페르소나 밸런스 업데이트\n산달폰·야마타노오로치·토르·킹프로스트·체르노보그
2025.04.16,v1.6.3,괴도 한정|통상 필터 가능\n과금 계산기 가격 및 효율 정렬 기능 추가
2025.04.15,v1.6.2,페르소나 육성 범례 설명 추가\n검색 및 필터 결과 개수 표기\n괴도 캐릭터 카드 화질 및 로딩효과 개선\nCtrl+클릭을 통한 새창 띄우기 가능하도록 변경
2025.04.14,v1.6.1,마나카 세부 데이터 1차 업데이트
2025.04.13,v1.6.0,NEW : 과금 계산기\nNEW : 크리티컬 확률 계산기\n티어 메이커 - 괴도 필터 추가\n캐릭터·계시 탭에 검색 기능 추가\n괴도 필터 태그 [관통] 추가
2025.04.12,v1.5.2,신규 괴도 마나카|이케나미\n신규 계시 신중·고집·희망
2025.04.11,v1.5.1,기리메칼라|쿠 훌린 업데이트
2025.04.10,v1.5.0,방어력 계산기 관통 업데이트
2025.04.03,v1.4.4,마유미 데이터 3차 업데이트
2025.04.02,v1.4.3,마유미 데이터 2차 업데이트
2025.03.28,v1.4.2,택틱 대장간 업로드 오류 패치
2025.03.26,v1.4.1,마유미 데이터 1차 업데이트
2025.03.25,v1.4.0,괴도 상세 페이지 사이클 추가 
2025.03.24,v1.3.9,괴도 운영 섹션 업데이트
2025.03.23,v1.3.8,사이트 기본 구조 변경
2025.03.20,v1.3.7,아케치|야타가라스 데이터 추가
2025.03.17,v1.3.6,택틱 메이커 화면캡처
2025.03.17,v1.3.5,택틱 메이커 옵션 드롭다운 - 아이콘 적용
2025.03.17,v1.3.4,택틱 메이커 페르소나 스킬 변경 시 순서 바뀜 오류 수정
2025.03.13,v1.3.3,택틱 모바일 입력 버그 fix|택틱 대장간 UI 수정
2025.03.13,v1.3.2,아케치 기본 정보 추가|키라 이름 오타 수정
2025.03.13,v1.3.1,괴도 태그 필터
2025.03.13,v1.3.0,괴도 요약 태그 추가
2025.03.12,v1.2.8,방어력 계산기 수치 세부사항 변경
2025.03.12,v1.2.7,누락된 핵열 속성 페르소나 스킬 추가
2025.03.11,v1.2.6,택틱 대장간 업로드 버그 해결
2025.03.09,v1.2.5,모바일 메뉴 개선| 택틱 베스트 UI 간소화
2025.03.09,v1.2.4,페르소나-산달폰
2025.03.09,v1.2.3,10LV+5심상 데이터 일괄 업데이트
2025.03.06,v1.2.2,나츠카와 미오 데이터 업데이트
2025.03.06,v1.2.1,렌(조커) 살기 → 반역의 의지 변경
2025.03.05,v1.2.0,티어 메이커 (beta) 오픈
2025.03.04,v1.1.0,페르소나-아프사라스|택틱 공유 시 UI하이드 기본값 적용
2025.03.04,v1.0.9,메인 페이지 가이드 링크
2025.03.03,v1.0.8,메인 페이지 택틱 대장간 NEW|미오 데이터 일부 추가
2025.03.01,v1.0.7,택틱 대장간 코멘트 기능 추가
2025.03.01,v1.0.6,일부 데이터 수정 및 추가
2025.02.28,v1.0.5,페르소나 등급 필터 추가
2025.02.28,v1.0.4,캐릭터 상세페이지 계시 툴팁 기능 추가
2025.02.27,v1.0.3,버전 업데이트 로직 개편
2025.02.27,v1.0.2,택틱 메인 메뉴| 서브 메뉴 구성
2025.02.27,v1.0.1,방어력 계산기 모바일 UI 업데이트| 토모코·여름 데이터 추가
2025.02.27,v1.0.0,택틱 대장간 업데이트| 본인만의 택틱을 공유하세요
2025.02.27,v0.9.3,lufel.net 도메인 적용 및 보안 업데이트
2025.02.26,v0.9.2,계시 실망·헛수고 데이터 업데이트| 활성화 계시 UI 표시
2025.02.24,v0.9.1,메인 페이지 뮤직플레이어(PC Only) - Gone with the Storm|Life Will Change
2025.02.24,v0.9.0,메인 페이지 업데이트
2025.02.24,v0.8.6,모바일 UIUX 전체 업데이트 및 각종 버그 제거
2025.02.24,v0.8.5,루페르넷 전체 데이터 용량 최적화
2025.02.24,v0.8.4,페르소나 페이지 이미지 로딩 최적화
2025.02.23,v0.8.3,페르소나 페이지 UI 개선|코멘트 추가
2025.02.23,v0.8.2,페르소나 검색 기능 추가
2025.02.23,v0.8.1,페르소나 데이터 업데이트
2025.02.23,v0.8.0,페르소나 페이지 구성
2025.02.23,v0.7.0,방어력 계산기 페이지(PC) 구성 및 완료
2025.02.22,v0.6.2,택틱 메이커 가시성 업데이트|누락 데이터 추가 *음률의 침입
2025.02.22,v0.6.1,필터 직관성 업데이트|모바일 메뉴 UX 개선
2025.02.22,v0.6.0,계시 페이지 데이터 입력 및 완성
2025.02.21,v0.5.5,괴도 상세 데이터 전체 입력
2025.02.21,v0.5.4,수치 데이터 별도 스타일 적용
2025.02.20,v0.5.3,무기 및 스킬 개조·레벨 별 수치 표현
2025.02.20,v0.5.2,툴팁 기능 추가
2025.02.19,v0.5.1,상세 페이지 디자인 개선
2025.02.18,v0.5.0,괴도 상세 페이지 구성: 괴도명·페르소나·약점·추천 세팅·의식·무기·스킬
2025.02.17,v0.4.1,괴도 페이지 디자인 개선
2025.02.16,v0.4.0,로고 추가|테마 변경|모바일 및 태블릿 반응형 레이아웃 적용
2025.02.15,v0.3.5,택틱 메이커 임포팅
2025.02.15,v0.3.2,계시 주↔일월성진 매칭 기능
2025.02.14,v0.3.1,계시 데이터 입력 및 필터 구현
2025.02.14,v0.3.0,계시 페이지 구성
2025.02.13,v0.2.1,캐릭터 필터 기능 구현
2025.02.12,v0.2.0,괴도 페이지 구성|캐릭터 데이터 추가
2025.02.12,v0.1.1,내비게이션 제작|애니메이션 구현
2025.02.11,v0.1.0,사이트 기본 기능 구현
